cluster_label,cluster_size,class,subclass,cross-species cluster,DNAm_cluster_label,ATAC_cluster_label
Astro FGFR3 GFAP,332,Non-neuronal,Astro,Astro_1,Glia RORB SLC1A2,Astro RORB SLC1A2
Astro FGFR3 EPHB1,1045,Non-neuronal,Astro,Astro_2,Glia RORB SLC1A2,Astro RORB SLC1A2
Astro FGFR3 NWD1,3471,Non-neuronal,Astro,Astro_2,Glia RORB SLC1A2,Astro RORB SLC1A2
Astro FGFR3 RCN2,2187,Non-neuronal,Astro,Astro_2,Glia RORB SLC1A2,Astro RORB SLC1A2
Inh PVALB FAM19A4,772,GABAergic,Pvalb,Chandelier,Inh PVALB FAM19A4,Inh PVALB FAM19A4
Endo NOSTRIN IL1R1,228,Non-neuronal,Endo,Endo,Glia RORB SLC1A2,Glia SLC1A3 FLT1
Endo NOSTRIN CXCL12,1569,Non-neuronal,Endo,Endo,Glia RORB SLC1A2,Glia SLC1A3 FLT1
Glia SLC1A3 FBLN5,54,Non-neuronal,Endo,Endo,Glia RORB SLC1A2,Glia SLC1A3 FLT1
Exc THEMIS ANO3,2782,Glutamatergic,L2/3 IT,L2/3 IT,Exc THEMIS ACTN2,Exc RORB NDST3
Exc RORB LOC108588466,6254,Glutamatergic,L2/3 IT,L2/3 IT,Exc RORB LOC108588466,Exc RORB LOC108588466
Exc RORB SERPINE2,1031,Glutamatergic,L2/3 IT,L2/3 IT,Exc RORB LOC108588466,Exc RORB NDST3
Exc RORB NDST3,4037,Glutamatergic,L2/3 IT,L2/3 IT,Exc RORB LOC108588466,Exc RORB NDST3
Exc THEMIS ARL13B,425,Glutamatergic,L5 ET,L5 ET_1,Exc FEZF2 PIEZO2,Exc FEZF2 PIEZO2
Exc FEZF2 PIEZO2,337,Glutamatergic,L5 ET,L5 ET_1,Exc FEZF2 PIEZO2,Exc FEZF2 PIEZO2
Exc FEZF2 PDZRN4,158,Glutamatergic,L5 ET,L5 ET_2,Exc FEZF2 PIEZO2,Exc FEZF2 PIEZO2
Exc RORB KNL1,396,Glutamatergic,L5 IT,L5 IT_1,Exc THEMIS HS3ST5,NA
Exc RORB CAV3,450,Glutamatergic,L5 IT,L5 IT_1,Exc THEMIS HS3ST5,Exc THEMIS HS3ST5
Exc RORB LOC108593203,2104,Glutamatergic,L5 IT,L5 IT_1,Exc RORB LOC108593203,Exc RORB LOC108593203
Exc RORB ANKRD27,4037,Glutamatergic,L5 IT,L5 IT_1,Exc RORB ANTXR2,Exc RORB ANKRD27
Exc RORB ACTA2,1664,Glutamatergic,L5 IT,L5 IT_1,Exc RORB LOC108593203,Exc RORB DCC
Exc RORB USH1C,2716,Glutamatergic,L5 IT,L5 IT_1,Exc RORB ANTXR2,Exc RORB USH1C
Exc RORB PPA2,1137,Glutamatergic,L5 IT,L5 IT_2,Exc RORB TLL1,Exc RORB TLL1
Exc RORB CHGA,2049,Glutamatergic,L5 IT,L5 IT_2,Exc RORB TLL1,Exc RORB TLL1
Exc RORB HACL1,1857,Glutamatergic,L5 IT,L5 IT_2,Exc RORB PCED1B,Exc RORB HACL1
Exc RORB SLC38A11,917,Glutamatergic,L5 IT,L5 IT_3,Exc RORB PAPSS2,Exc RORB DCC
Exc FEZF2 CRYM,1011,Glutamatergic,L5/6 NP,L5/6 NP,Exc FEZF2 TSHZ2,Exc FEZF2 CRYM
Exc FEZF2 RGS4,1809,Glutamatergic,L6 CT,L6 CT_1,Exc FEZF2 BMP5,Exc FEZF2 NRP1
Exc FEZF2 NRP1,1195,Glutamatergic,L6 CT,L6 CT_2,Exc FEZF2 NRP1,Exc FEZF2 NRP1
Exc THEMIS COBL,809,Glutamatergic,L6 IT,L6 IT_1,Exc THEMIS HS3ST5,Exc THEMIS HS3ST5
Exc THEMIS KCTD16,2788,Glutamatergic,L6 IT,L6 IT_2,Exc THEMIS HS3ST5,Exc THEMIS HS3ST5
Exc THEMIS NTNG2,728,Glutamatergic,L6 IT Car3,L6 IT_3,Exc THEMIS CENPP,Exc THEMIS NTNG2
Exc FEZF2 ARSJ,890,Glutamatergic,L6b,L6b,Exc FEZF2 ARSJ,Exc FEZF2 ARSJ
Inh LAMP5 TOX2,93,GABAergic,Lamp5,Lamp5_1,Inh LAMP5 COL5A2,Inh LAMP5 KIT
Inh LAMP5 WWP1,276,GABAergic,Lamp5,Lamp5_2,Inh LAMP5 PBX3,Inh LAMP5 KIT
Inh LAMP5 LOC108591196,435,GABAergic,Lamp5,Lamp5_2,Inh LAMP5 PBX3,Inh LAMP5 KIT
Inh LAMP5 TRPC6,280,GABAergic,Lamp5,Lamp5_3,Inh LAMP5 CTTNBP2,Inh LAMP5 KIT
Inh PAX6 HMBOX1,229,GABAergic,Lamp5,Lamp5_4,Inh GAD1 ZC4H2,Inh GAD1 THSD7B
Inh LAMP5 COL5A2,161,GABAergic,Lamp5,Lamp5_5,Inh LAMP5 COL5A2,Inh LAMP5 KIT
Micro TYROBP LOC103788313,1065,Non-neuronal,Micro-PVM,Microglia/PVM,Glia SLC1A3 LOC103788313,Glia SLC1A3 FLT1
Inh PAX6 MEIS2,20,GABAergic,Meis2,NA,Inh GAD1 ZC4H2,Inh VIP LOC103791740
Oligo SLC1A3 LOC103793418,161,Non-neuronal,Oligo,NA,Glia SLC1A3 LOC103788313,Oligo OPALIN ST18
Peri SLC1A3 CHST3,163,Non-neuronal,Peri,NA,Glia OPALIN ST18,Glia SLC1A3 FLT1
Peri SLC1A3 EPSTI1,212,Non-neuronal,Peri,NA,Glia OPALIN ST18,Glia SLC1A3 FLT1
VLMC SLC1A3 SLC47A1,224,Non-neuronal,VLMC,NA,Glia OPALIN ST18,Glia SLC1A3 FLT1
Oligo OPALIN MOBP,2162,Non-neuronal,Oligo,Oligo_1,Glia OPALIN ST18,Oligo OPALIN ST18
Oligo OPALIN LOC103790018,5857,Non-neuronal,Oligo,Oligo_2,Glia OPALIN ST18,Oligo OPALIN ST18
OPC PDGFRA VCAN,2256,Non-neuronal,OPC,OPC,Glia OPALIN ST18,OPC PDGFRA VCAN
Inh PVALB OTOGL,134,GABAergic,Pvalb,Pvalb_1,Inh PVALB CDON,Inh PVALB MYO5B
Inh PVALB LOC103790362,447,GABAergic,Pvalb,Pvalb_1,Inh PVALB IGF2BP2,Inh PVALB MYO5B
Inh PVALB OSBP2,245,GABAergic,Pvalb,Pvalb_1,Inh PVALB IGF2BP2,Inh PVALB MYO5B
Inh PVALB LOC103789439,162,GABAergic,Pvalb,Pvalb_1,Inh PVALB IGF2BP2,Inh PVALB MYO5B
Inh PVALB GSTK1,113,GABAergic,Pvalb,Pvalb_1,Inh PVALB CDON,Inh PVALB MYO5B
Inh PVALB C8H7orf62,265,GABAergic,Pvalb,Pvalb_1,Inh PVALB CDON,Inh PVALB MYO5B
