cluster_label,cluster_size,class,subclass,cross-species cluster,DNAm_cluster_label,ATAC_cluster_label
Astro L1-6 FGFR3 AQP1,119,Non-neuronal,Astro,Astro_1,Astro L1-6 FGFR3 RNF219-AS1,Astro L1-6 FGFR3 AQP1
Astro L1 FGFR3 SERPINI2,72,Non-neuronal,Astro,Astro_1,Astro L1-6 FGFR3 RNF219-AS1,Astro L1 FGFR3 SERPINI2
Astro L1-6 FGFR3 PLCG1,377,Non-neuronal,Astro,Astro_2,Astro L1-6 FGFR3 RNF219-AS1,Astro L1-6 FGFR3 PLCG1
Inh L1-6 PVALB COL15A1,288,GABAergic,Pvalb,Chandelier,Inh L1-6 PVALB COL15A1,Inh L1-6 PVALB COL15A1
Endo L2-5 NOSTRIN SRGN,64,Non-neuronal,Endo,Endo,Glia L1-5 NOSTRIN MECOM,Glia L1-5 NOSTRIN MECOM
Exc L2 LAMP5 KCNG3,261,Glutamatergic,L2/3 IT,L2/3 IT,Exc L1-3 LAMP5 LINC00507,Exc L2 LAMP5 KCNG3
Exc L2 LINC00507 ATP7B,183,Glutamatergic,L2/3 IT,L2/3 IT,Exc L1-3 LAMP5 LINC00507,Exc L2 LINC00507 ATP7B
Exc L2 LINC00507 GLRA3,12485,Glutamatergic,L2/3 IT,L2/3 IT,Exc L1-3 LAMP5 LINC00507,Exc L2 LINC00507 GLRA3
Exc L2-3 RORB RTKN2,1211,Glutamatergic,L2/3 IT,L2/3 IT,Exc L1-3 LAMP5 LINC00507,Exc L2-3 RORB RTKN2
Exc L2-3 LINC00507 DSG3,1088,Glutamatergic,L2/3 IT,L2/3 IT,Exc L1-3 LAMP5 LINC00507,Exc L2-3 LINC00507 DSG3
Exc L3 LAMP5 CARM1P1,4044,Glutamatergic,L2/3 IT,L2/3 IT,Exc L1-3 LAMP5 LINC00507,Exc L3 LAMP5 MIR3976HG
Exc L5 FEZF2 CSN1S1,150,Glutamatergic,L5 ET,L5 ET_1,Exc L3-5 FEZF2 LOC101929352,Exc L3-5 FEZF2 LOC101929352
Exc L3-5 FEZF2 ASGR2,620,Glutamatergic,L5 ET,L5 ET_1,Exc L3-5 FEZF2 LOC101929352,Exc L3-5 FEZF2 LOC101929352
