clusterName,gene,NSForestMarker
GABAergic,GAD1,y
GABAergic,SATB2,n
GABAergic,SV2B,n
GABAergic,ST18,n
GABAergic,APBB1IP,n
GABAergic,DOCK8,n
Glutamatergic,GAD1,n
Glutamatergic,SATB2,y
Glutamatergic,SV2B,y
Glutamatergic,ST18,n
Glutamatergic,APBB1IP,n
Glutamatergic,DOCK8,n
Non-Neuronal,GAD1,n
Non-Neuronal,SATB2,n
Non-Neuronal,SV2B,n
Non-Neuronal,ST18,y
Non-Neuronal,APBB1IP,n
Non-Neuronal,DOCK8,n
Non-Neural,GAD1,n
Non-Neural,SATB2,n
Non-Neural,SV2B,n
Non-Neural,ST18,n
Non-Neural,APBB1IP,y
Non-Neural,DOCK8,y
L2/3 IT,CUX2,y
L2/3 IT,FAM19A1,y
L2/3 IT,LOC105374971,n
L2/3 IT,RORB,n
L2/3 IT,LINC00343,n
L2/3 IT,LOC101928278,n
L2/3 IT,THEMIS,n
L2/3 IT,ATP10A,n
L2/3 IT,RGS12,n
L2/3 IT,LOC105376457,n
L2/3 IT,OR51E2,n
L2/3 IT,NPSR1-AS1,n
L2/3 IT,EGFEM1P,n
L2/3 IT,HS3ST4,n
L2/3 IT,SEMA5A,n
L2/3 IT,MDFIC,n
L2/3 IT,SEMA3D,n
L5 IT,CUX2,n
L5 IT,FAM19A1,n
L5 IT,LOC105374971,y
L5 IT,RORB,y
L5 IT,LINC00343,n
L5 IT,LOC101928278,n
L5 IT,THEMIS,n
L5 IT,ATP10A,n
L5 IT,RGS12,n
L5 IT,LOC105376457,n
L5 IT,OR51E2,n
L5 IT,NPSR1-AS1,n
L5 IT,EGFEM1P,n
L5 IT,HS3ST4,n
L5 IT,SEMA5A,n
L5 IT,MDFIC,n
L5 IT,SEMA3D,n
L6 IT,CUX2,n
L6 IT,FAM19A1,n
L6 IT,LOC105374971,n
L6 IT,RORB,n
L6 IT,LINC00343,y
L6 IT,LOC101928278,y
L6 IT,THEMIS,y
L6 IT,ATP10A,n
L6 IT,RGS12,n
L6 IT,LOC105376457,n
L6 IT,OR51E2,n
L6 IT,NPSR1-AS1,n
L6 IT,EGFEM1P,n
L6 IT,HS3ST4,n
L6 IT,SEMA5A,n
L6 IT,MDFIC,n
L6 IT,SEMA3D,n
L6 IT Car3,CUX2,n
L6 IT Car3,FAM19A1,n
L6 IT Car3,LOC105374971,n
L6 IT Car3,RORB,n
L6 IT Car3,LINC00343,n
L6 IT Car3,LOC101928278,n
L6 IT Car3,THEMIS,n
L6 IT Car3,ATP10A,y
L6 IT Car3,RGS12,y
L6 IT Car3,LOC105376457,n
L6 IT Car3,OR51E2,n
L6 IT Car3,NPSR1-AS1,n
L6 IT Car3,EGFEM1P,n
L6 IT Car3,HS3ST4,n
L6 IT Car3,SEMA5A,n
L6 IT Car3,MDFIC,n
L6 IT Car3,SEMA3D,n
L6 CT,CUX2,n
L6 CT,FAM19A1,n
L6 CT,LOC105374971,n
L6 CT,RORB,n
L6 CT,LINC00343,n
L6 CT,LOC101928278,n
L6 CT,THEMIS,n
L6 CT,ATP10A,n
L6 CT,RGS12,n
L6 CT,LOC105376457,n
L6 CT,OR51E2,n
L6 CT,NPSR1-AS1,n
L6 CT,EGFEM1P,y
L6 CT,HS3ST4,y
L6 CT,SEMA5A,y
L6 CT,MDFIC,n
L6 CT,SEMA3D,n
L6b,CUX2,n
L6b,FAM19A1,n
L6b,LOC105374971,n
L6b,RORB,n
L6b,LINC00343,n
L6b,LOC101928278,n
L6b,THEMIS,n
L6b,ATP10A,n
L6b,RGS12,n
L6b,LOC105376457,n
L6b,OR51E2,n
L6b,NPSR1-AS1,n
L6b,EGFEM1P,n
L6b,HS3ST4,n
L6b,SEMA5A,n
L6b,MDFIC,y
L6b,SEMA3D,y
L5 ET,CUX2,n
L5 ET,FAM19A1,n
L5 ET,LOC105374971,n
L5 ET,RORB,n
L5 ET,LINC00343,n
L5 ET,LOC101928278,n
L5 ET,THEMIS,n
L5 ET,ATP10A,n
L5 ET,RGS12,n
L5 ET,LOC105376457,y
L5 ET,OR51E2,y
L5 ET,NPSR1-AS1,n
L5 ET,EGFEM1P,n
L5 ET,HS3ST4,n
L5 ET,SEMA5A,n
L5 ET,MDFIC,n
L5 ET,SEMA3D,n
L5/6 NP,CUX2,n
L5/6 NP,FAM19A1,n
L5/6 NP,LOC105374971,n
L5/6 NP,RORB,n
L5/6 NP,LINC00343,n
L5/6 NP,LOC101928278,n
L5/6 NP,THEMIS,n
L5/6 NP,ATP10A,n
L5/6 NP,RGS12,n
L5/6 NP,LOC105376457,n
L5/6 NP,OR51E2,n
L5/6 NP,NPSR1-AS1,y
L5/6 NP,EGFEM1P,n
L5/6 NP,HS3ST4,n
L5/6 NP,SEMA5A,n
L5/6 NP,MDFIC,n
L5/6 NP,SEMA3D,n
Lamp5,EYA4,y
Lamp5,MYO16,y
Lamp5,ADARB2,n
Lamp5,CNR1,n
Lamp5,CXCL14,n
Lamp5,VIP,n
Lamp5,NPY,n
Lamp5,NXPH1,n
Lamp5,SOX6,n
Lamp5,SST,n
Lamp5,ADAMTS17,n
Lamp5,LOC101929680,n
Sncg,EYA4,n
Sncg,MYO16,n
Sncg,ADARB2,y
Sncg,CNR1,y
Sncg,CXCL14,y
Sncg,VIP,n
Sncg,NPY,n
Sncg,NXPH1,n
Sncg,SOX6,n
Sncg,SST,n
Sncg,ADAMTS17,n
Sncg,LOC101929680,n
Vip,EYA4,n
Vip,MYO16,n
Vip,ADARB2,n
Vip,CNR1,n
Vip,CXCL14,n
Vip,VIP,y
Vip,NPY,n
Vip,NXPH1,n
Vip,SOX6,n
Vip,SST,n
Vip,ADAMTS17,n
Vip,LOC101929680,n
Sst Chodl,EYA4,n
Sst Chodl,MYO16,n
Sst Chodl,ADARB2,n
Sst Chodl,CNR1,n
Sst Chodl,CXCL14,n
Sst Chodl,VIP,n
Sst Chodl,NPY,y
Sst Chodl,NXPH1,n
Sst Chodl,SOX6,n
Sst Chodl,SST,n
Sst Chodl,ADAMTS17,n
Sst Chodl,LOC101929680,n
Sst,EYA4,n
Sst,MYO16,n
Sst,ADARB2,n
Sst,CNR1,n
Sst,CXCL14,n
Sst,VIP,n
Sst,NPY,n
Sst,NXPH1,y
Sst,SOX6,y
Sst,SST,y
Sst,ADAMTS17,n
Sst,LOC101929680,n
Pvalb,EYA4,n
Pvalb,MYO16,n
Pvalb,ADARB2,n
Pvalb,CNR1,n
Pvalb,CXCL14,n
Pvalb,VIP,n
Pvalb,NPY,n
Pvalb,NXPH1,n
Pvalb,SOX6,n
Pvalb,SST,n
Pvalb,ADAMTS17,y
Pvalb,LOC101929680,y
Oligo,STK32A,n
Oligo,VCAN,n
Oligo,ST18,y
Oligo,RNF219-AS1,n
OPC,STK32A,n
OPC,VCAN,n
OPC,ST18,n
OPC,RNF219-AS1,n
Astro,STK32A,n
Astro,VCAN,n
Astro,ST18,n
Astro,RNF219-AS1,y
Endo,CLDN5,y
Endo,COL1A2,n
Endo,COLEC12,n
Endo,DOCK8,n
VLMC,CLDN5,n
VLMC,COL1A2,y
VLMC,COLEC12,y
VLMC,DOCK8,n
Micro-PVM,CLDN5,n
Micro-PVM,COL1A2,n
Micro-PVM,COLEC12,n
Micro-PVM,DOCK8,y
Inh L1 LAMP5 PVRL2,CBLN4,y
Inh L1 LAMP5 PVRL2,HS3ST5,y
Inh L1 LAMP5 PVRL2,RELN,y
Inh L1 LAMP5 PVRL2,TRPC3,y
Inh L1 LAMP5 PVRL2,ADAMTS20,n
Inh L1 LAMP5 PVRL2,FREM1,n
Inh L1 LAMP5 PVRL2,MYH11,n
Inh L1 LAMP5 PVRL2,FBXL7,n
Inh L1 LAMP5 PVRL2,KIT,n
Inh L1 LAMP5 PVRL2,PRELID2,n
Inh L1 LAMP5 PVRL2,EPHA3,n
Inh L1 LAMP5 PVRL2,EYA4,n
Inh L1 LAMP5 PVRL2,NTNG1,n
Inh L1 LAMP5 PVRL2,ROR2,n
Inh L1 LAMP5 PVRL2,HS3ST4,n
Inh L1 LAMP5 PVRL2,NOS1,n
Inh L1 LAMP5 PVRL2,LOC105379168,n
Inh L1 LAMP5 PVRL2,PDGFD,n
Inh L1 LAMP5 PVRL2,PALMD,n
Inh L1 LAMP5 PVRL2,TGFBR2,n
Inh L1 LAMP5 PVRL2,COL5A2,n
Inh L1 LAMP5 PVRL2,PCDH18,n
Inh L1 LAMP5 RAB11FIP1,CBLN4,n
Inh L1 LAMP5 RAB11FIP1,HS3ST5,n
Inh L1 LAMP5 RAB11FIP1,RELN,n
Inh L1 LAMP5 RAB11FIP1,TRPC3,n
Inh L1 LAMP5 RAB11FIP1,ADAMTS20,y
Inh L1 LAMP5 RAB11FIP1,FREM1,y
Inh L1 LAMP5 RAB11FIP1,MYH11,y
Inh L1 LAMP5 RAB11FIP1,FBXL7,n
Inh L1 LAMP5 RAB11FIP1,KIT,n
Inh L1 LAMP5 RAB11FIP1,PRELID2,n
Inh L1 LAMP5 RAB11FIP1,EPHA3,n
Inh L1 LAMP5 RAB11FIP1,EYA4,n
Inh L1 LAMP5 RAB11FIP1,NTNG1,n
Inh L1 LAMP5 RAB11FIP1,ROR2,n
Inh L1 LAMP5 RAB11FIP1,HS3ST4,n
Inh L1 LAMP5 RAB11FIP1,NOS1,n
Inh L1 LAMP5 RAB11FIP1,LOC105379168,n
Inh L1 LAMP5 RAB11FIP1,PDGFD,n
Inh L1 LAMP5 RAB11FIP1,PALMD,n
Inh L1 LAMP5 RAB11FIP1,TGFBR2,n
Inh L1 LAMP5 RAB11FIP1,COL5A2,n
Inh L1 LAMP5 RAB11FIP1,PCDH18,n
Inh L1-6 LAMP5 AARD,CBLN4,n
Inh L1-6 LAMP5 AARD,HS3ST5,n
Inh L1-6 LAMP5 AARD,RELN,n
Inh L1-6 LAMP5 AARD,TRPC3,n
